com,n_com,dgr_int,PY,TI,AU,UT,seed_com
5,9,0.21287149316056975,2017,A LIFE COURSE EXAMINATION OF THE PHYSICAL ENVIRONMENTAL DETERMINANTS OF PHYSICAL ACTIVITY BEHAVIOUR: A “DETERMINANTS OF DIET AND PHYSICAL ACTIVITY” (DEDIPAC) UMBRELLA SYSTEMATIC LITERATURE REVIEW,CARLIN A;PERCHOUX C;PUGGINA A;ALEKSOVSKA K;BUCK C;BURNS C;CARDON G;CHANTAL S;CIARAPICA D;CONDELLO G;COPPINGER T;CORTIS C;D'HAESE S;DE CRAEMER M;DI BLASIO A;HANSEN S;IACOVIELLO L;ISSARTEL J;IZZICUPO P;JAESCHKE L;KANNING M;KENNEDY A;LAKERVELD J;LING FCM;LUZAK A;NAPOLITANO G;NAZARE J-A;PISCHON T;POLITO A;SANNELLA A;SCHULZ H;SOHUN R;STEINBRECHER A;SCHLICHT W;RICCIARDI W;MACDONNCHA C;CAPRANICA L;BOCCIA S,2-S2.0-85026857264,TRUE
5,9,0.19510519536281667,2017,SOCIO-CULTURAL DETERMINANTS OF PHYSICAL ACTIVITY ACROSS THE LIFE COURSE: A 'DETERMINANTS OF DIET AND PHYSICAL ACTIVITY' (DEDIPAC) UMBRELLA SYSTEMATIC LITERATURE REVIEW,JAESCHKE L;STEINBRECHER A;LUZAK A;PUGGINA A;ALEKSOVSKA K;BUCK C;BURNS C;CARDON G;CARLIN A;CHANTAL S;CIARAPICA D;CONDELLO G;COPPINGER T;CORTIS C;DE CRAEMER M;D'HAESE S;DI BLASIO A;HANSEN S;IACOVIELLO L;ISSARTEL J;IZZICUPO P;KANNING M;KENNEDY A;LING FCM;NAPOLITANO G;NAZARE J-A;PERCHOUX C;POLITO A;RICCIARDI W;SANNELLA A;SCHLICHT W;SOHUN R;MACDONNCHA C;BOCCIA S;CAPRANICA L;SCHULZ H;PISCHON T;LIEN N;LAKERVELD J;MAZZOCCHI M;O'GORMAN D;MONSIVAIS P;NICOLAOU M;RENNER B;VOLKERT D;ON BEHALF OF THE DEDIPAC CONSORTIUM,2-S2.0-85038637479,TRUE
5,9,0.16247641866129636,2017,"PSYCHOLOGICAL DETERMINANTS OF PHYSICAL ACTIVITY ACROSS THE LIFE COURSE: A ""DETERMINANTS OF DIET AND PHYSICAL ACTIVITY"" (DEDIPAC) UMBRELLA SYSTEMATIC LITERATURE REVIEW",CORTIS C;PUGGINA A;PESCE C;ALEKSOVSKA K;BUCK C;BURNS C;CARDON G;CARLIN A;SIMON C;CIARAPICA D;CONDELLO G;COPPINGER T;D'HAESE S;DE CRAEMER M;DI BLASIO A;HANSEN S;IACOVIELLO L;ISSARTEL J;IZZICUPO P;JAESCHKE L;KANNING M;KENNEDY A;LING FCM;LUZAK A;NAPOLITANO G;NAZARE J-A;O'DONOGHUE G;PERCHOUX C;PISCHON T;POLITO A;SANNELLA A;SCHULZ H;SOHUN R;STEINBRECHER A;SCHLICHT W;RICCIARDI W;CASTELLANI L;MACDONNCHA C;CAPRANICA L;BOCCIA S,2-S2.0-85027715815,TRUE
5,9,0.15389900349443664,2019,"WALKING, TRIP PURPOSE, AND EXPOSURE TO MULTIPLE ENVIRONMENTS: A CASE STUDY OF OLDER ADULTS IN LUXEMBOURG",PERCHOUX C;BRONDEEL R;WASFI R;KLEIN O;CARUSO G;VALLÉE J;KLEIN S;THIERRY B;DIJST M;CHAIX B;KESTENS Y;GERBER P,2-S2.0-85064708407,TRUE
5,9,0.08506411414123172,2019,"ACTIVITY SPACES IN PLACE AND HEALTH RESEARCH: NOVEL EXPOSURE MEASURES, DATA COLLECTION TOOLS, AND DESIGNS",PERCHOUX C;CHAIX B;KESTENS Y,2-S2.0-85070891384,TRUE
6,7,0.36526462234354296,2020,GEOGRAPHY OF SKILLS AND GLOBAL INEQUALITY,BURZYNSKI M;DEUSTER C;DOCQUIER F,2-S2.0-85063215472,TRUE
6,7,0.2980150791431501,2019,"BRAIN DRAIN, INFORMALITY AND INEQUALITY: A SEARCH-AND-MATCHING MODEL FOR SUB-SAHARAN AFRICA",DOCQUIER F;IFTIKHAR Z,2-S2.0-85067486403,TRUE
6,7,0.20781969353397925,2021,THE GEOGRAPHY OF CLIMATE MIGRATION,BURZYŃSKI M;DOCQUIER F;SCHEEWEL H,2-S2.0-85112814613,TRUE
6,7,0.1799016966545705,2019,LABOR MARKET EFFECTS OF DEMOGRAPHIC SHIFTS AND MIGRATION IN OECD COUNTRIES,DOCQUIER F;KONE ZL;MATTOO A;OZDEN C,2-S2.0-85061702254,TRUE
6,7,0.17086475056149938,2019,OPTIMAL EDUCATION POLICY AND HUMAN CAPITAL ACCUMULATION IN THE CONTEXT OF BRAIN DRAIN,DJAJIĆ S;DOCQUIER F;MICHAEL MS,2-S2.0-85079480969,TRUE
7,7,0.21875901875901876,2020,"PRACTICE BRIEFING – AUTOMATED VALUATION MODELS (AVMS): THEIR ROLE, THEIR ADVANTAGES AND THEIR LIMITATIONS",GLUMAC B;DES ROSIERS F,2-S2.0-85091443750,TRUE
7,7,0.2066612066612067,2020,TOWARDS A TAXONOMY FOR REAL ESTATE AND LAND AUTOMATED VALUATION SYSTEMS,GLUMAC B;DES ROSIERS F,2-S2.0-85092171852,TRUE
7,7,0.1432288971211127,2019,A HEDONIC URBAN LAND PRICE INDEX,GLUMAC B;HERRERA-GOMEZ M;LICHERON J,2-S2.0-85058576778,TRUE
7,7,0.08693442753276648,2018,HOMEBUYERS’ PREFERENCES CONCERNING INSTALLED PHOTOVOLTAIC SYSTEMS: A DISCRETE CHOICE EXPERIMENT,GLUMAC B;WISSINK TP,2-S2.0-85047323503,TRUE
7,7,0.06932895322177737,2021,TINY PORTABLE HOME: MEASURING THE RENTAL PREFERENCES,GLUMAC B,2-S2.0-85108678317,TRUE
8,5,0.2509090909090909,2020,EVIDENCE FOR THE HOMOTHETIC SCALING OF URBAN FORMS,LEMOY R;CARUSO G,2-S2.0-85059442650,FALSE
8,5,0.2025531914893617,2021,RADIAL ANALYSIS AND SCALING OF URBAN LAND USE,LEMOY R;CARUSO G,2-S2.0-85118954483,FALSE
8,5,0.16582951599789725,2020,ALONSO AND THE SCALING OF URBAN PROFILES,DELLOYE J;LEMOY R;CARUSO G,2-S2.0-85061345715,FALSE
8,5,0.01744186046511628,2019,THE IMPACT OF HOUSING CONSUMPTION VALUE ON THE SPATIAL DISTRIBUTION OF WELFARE,KILGARRIFF P;CHARLTON M;FOLEY R;O'DONOGHUE C,2-S2.0-85057091083,FALSE
8,5,0.014925373134328358,2018,A MULTI-SCALE FINE-GRAINED LUTI MODEL TO SIMULATE LAND-USE SCENARIOS IN LUXEMBOURG,GERBER P;CARUSO G;CORNELIS E;DE CHARDON CM,2-S2.0-85047660383,FALSE
9,5,0.46931690234829504,2021,SOCIAL-SPATIAL DYNAMICS OF WORKERS IN THE LORRAINE REGION (FRANCE) IN VIEW OF LUXEMBOURG CROSSBORDER METROPOLISATION,CHEN J;GERBER P;RAMADIER T,2-S2.0-85120799449,FALSE
9,5,0.468790260945518,2018,SOCIAL-SPATIAL DYNAMICS OF WORKERS IN THE LORRAINE REGION (FRANCE) IN VIEW OF LUXEMBOURG CROSS-BORDER METROPOLIZATION [DYNAMIQUES SOCIO-SPATIALES DES ACTIFS LORRAINS AU REGARD DE LA MÉTROPOLISATION TRANSFRONTALIÈRE LUXEMBOURGEOISE],CHEN J;GERBER P;RAMADIER T,2-S2.0-85041945062,FALSE
9,5,0.20002976343502946,2017,CAUSAL STRUCTURE LEARNING FOR TRAVEL MODE CHOICE USING STRUCTURAL RESTRICTIONS AND MODEL AVERAGING ALGORITHM,MA T-Y;CHOW JYJ;XU J,2-S2.0-85006918724,FALSE
9,5,0.15517241379310345,2018,BAYESIAN NETWORKS FOR CONSTRAINED LOCATION CHOICE MODELING USING STRUCTURAL RESTRICTIONS AND MODEL AVERAGING,MA T-Y;KLEIN S,2-S2.0-85042533327,FALSE
9,5,0.0472212613859103,2019,COUPLING ACTIVITY-BASED MODELING AND LIFE CYCLE ASSESSMENT-A PROOF-OF-CONCEPT STUDY ON CROSS-BORDER COMMUTING IN LUXEMBOURG,BAUSTERT P;GUTIÉRREZ TN;GIBON T;CHION L;MA T-Y;MARIANTE GL;KLEIN S;GERBER P;BENETTO E,2-S2.0-85070442341,FALSE
10,5,0.10549450549450551,2016,THE ROLE OF ELITES IN THE CO-EVOLUTION OF INTERNATIONAL FINANCIAL MARKETS AND FINANCIAL CENTRES: THE CASE OF LUXEMBOURG,DÖRRY S,2-S2.0-85007308495,FALSE
10,5,0.08883861236802414,2016,THE GEOGRAPHIES OF INDUSTRIALISED FINANCE: PROBING THE GLOBAL PRODUCTION NETWORKS OF ASSET MANAGEMENT,DÖRRY S,2-S2.0-84957568175,FALSE
10,5,0.06533333333333334,2018,"GREEN FINANCING, INTERRUPTED. POTENTIAL DIRECTIONS FOR SUSTAINABLE FINANCE IN LUXEMBOURG",DÖRRY S;SCHULZ C,2-S2.0-85040985938,FALSE
10,5,0.060633484162895934,2017,"THE GEO-POLITICS OF BREXIT, THE EURO AND THE CITY OF LONDON",DÖRRY S,2-S2.0-85030549436,FALSE
10,5,0.032,2020,THE COMMUNITY ECONOMIES OF ESCH-SUR-ALZETTE: REREADING THE ECONOMY OF LUXEMBOURG,AIKEN GT;SCHULZ C;SCHMID B,2-S2.0-85092559459,FALSE
11,4,0.16727071656764397,2020,MIGRATION TRAJECTORIES AND THEIR RELATIONSHIP TO MENTAL HEALTH AMONG INTERNAL MIGRANTS IN URBAN CHINA: A SEQUENCE ALIGNMENT APPROACH,YANG M;DIJST M;HELBICH M,2-S2.0-85076718930,FALSE
11,4,0.1386889236654495,2020,USING STRUCTURAL EQUATION MODELING TO EXAMINE PATHWAYS BETWEEN PERCEIVED RESIDENTIAL GREEN SPACE AND MENTAL HEALTH AMONG INTERNAL MIGRANTS IN CHINA,YANG M;DIJST M;FABER J;HELBICH M,2-S2.0-85078460708,FALSE
11,4,0.13681600645793693,2018,"MENTAL HEALTH AMONG MIGRANTS IN SHENZHEN, CHINA: DOES IT MATTER WHETHER THE MIGRANT POPULATION IS IDENTIFIED BY HUKOU OR BIRTHPLACE?",YANG M;DIJST M;HELBICH M,2-S2.0-85057537183,FALSE
11,4,0.1133050562104777,2021,ASSESSING THE PERCEIVED CHANGES IN NEIGHBORHOOD PHYSICAL AND SOCIAL ENVIRONMENTS AND HOW THEY ARE ASSOCIATED WITH CHINESE INTERNAL MIGRANTS’ MENTAL HEALTH,YANG M;HAGENAUER J;DIJST M;HELBICH M,2-S2.0-85109356881,FALSE
12,4,0.1564207650273224,2020,A STOCHASTIC USER-OPERATOR ASSIGNMENT GAME FOR MICROTRANSIT SERVICE EVALUATION: A CASE STUDY OF KUSSBUS IN LUXEMBOURG,MA T-Y;CHOW JYJ;KLEIN S;MA Z,2-S2.0-85099546545,FALSE
12,4,0.11475409836065574,2021,A USER-OPERATOR ASSIGNMENT GAME WITH HETEROGENEOUS USER GROUPS FOR EMPIRICAL EVALUATION OF A MICROTRANSIT SERVICE IN LUXEMBOURG,MA T-Y;CHOW JYJ;KLEIN S;MA Z,2-S2.0-85091758866,FALSE
12,4,0.08611111111111111,2019,A DYNAMIC RIDESHARING DISPATCH AND IDLE VEHICLE REPOSITIONING STRATEGY WITH INTEGRATED TRANSIT TRANSFERS,MA T-Y;RASULKHANI S;CHOW JYJ;KLEIN S,2-S2.0-85068868692,FALSE
12,4,0.044444444444444446,2017,ON-DEMAND DYNAMIC BI-/MULTI-MODAL RIDE-SHARING USING OPTIMAL PASSENGER-VEHICLE ASSIGNMENTS,MA T-Y,2-S2.0-85026774951,FALSE
13,4,0.147985347985348,2021,THE ROLE OF ETHNIC CHANGE IN THE CLOSING OF RENT GAPS THROUGH BUY-TO-LET GENTRIFICATION,PACCOUD A;NIESSERON P;MACE A,2-S2.0-85078595820,FALSE
13,4,0.14433656957928803,2017,BUY-TO-LET GENTRIFICATION: EXTENDING SOCIAL CHANGE THROUGH TENURE SHIFTS,PACCOUD A,2-S2.0-85016780119,FALSE
13,4,0.12052704576976421,2018,TENURE CHANGE IN LONDON’S SUBURBS: SPREADING GENTRIFICATION OR SUBURBAN UPSCALING?,PACCOUD A;MACE A,2-S2.0-85043390571,FALSE
13,4,0.038461538461538464,2020,THE TOP TAIL OF THE PROPERTY WEALTH DISTRIBUTION AND THE PRODUCTION OF THE RESIDENTIAL ENVIRONMENT,PACCOUD A,2-S2.0-85074956920,FALSE
14,2,0.06666666666666667,2021,HOUSING RENT DYNAMICS AND RENT REGULATION IN ST. PETERSBURG (1880–1917),KHOLODILIN KA;LIMONOV LE;WALTL SR,2-S2.0-85103697821,FALSE
14,2,0.06666666666666667,2018,ESTIMATING QUANTILE-SPECIFIC RENTAL YIELDS FOR RESIDENTIAL HOUSING IN SYDNEY,WALTL SR,2-S2.0-85037345272,FALSE
15,2,0.05714285714285714,2021,INTEGRATED WEATHER EFFECTS ON E-CYCLING IN DAILY COMMUTING: A LONGITUDINAL EVALUATION OF WEATHER EFFECTS ON E-CYCLING IN THE NETHERLANDS,DE KRUIJF J;VAN DER WAERDEN P;FENG T;BÖCKER L;VAN LIEROP D;ETTEMA D;DIJST M,2-S2.0-85104399369,FALSE
15,2,0.05714285714285714,2019,"WEATHER AND DAILY MOBILITY IN INTERNATIONAL PERSPECTIVE: A CROSS-COMPARISON OF DUTCH, NORWEGIAN AND SWEDISH CITY REGIONS",BÖCKER L;PRIYA UTENG T;LIU C;DIJST M,2-S2.0-85069632289,FALSE
16,2,0.1,2019,"ECONOMIC PERFORMANCE, GENDER AND SOCIAL NETWORKS IN WEST AFRICAN FOOD SYSTEMS",WALTHER OJ;TENIKUE M;TRÉMOLIÈRES M,2-S2.0-85070909702,FALSE
16,2,0.1,2016,SOCIAL NETWORKS AND SMALL BUSINESS PERFORMANCE IN WEST AFRICAN BORDER REGIONS,KUÉPIÉ M;TENIKUE M;WALTHER OJ,2-S2.0-84945232518,FALSE
17,2,0.14444444444444443,2019,"BADIOU, HAUSSMANN AND SAINT-SIMON: OPENING SPACES FOR THE STATE AND PLANNING BETWEEN ‘POST-POLITICS’ AND URBAN INSURGENCIES",PACCOUD A,2-S2.0-85044305284,FALSE
17,2,0.14444444444444443,2016,"PLANNING LAW, POWER, AND PRACTICE: HAUSSMANN IN PARIS (1853–1870)",PACCOUD A,2-S2.0-84950112175,FALSE
18,2,0.10526315789473684,2019,COMPARING PASSENGER FLOW AND TIME SCHEDULE DATA TO ANALYSE HIGH-SPEED RAILWAYS AND URBAN NETWORKS IN CHINA,YANG H;DIJST M;WITTE P;VAN GINKEL H;WANG J,2-S2.0-85047404821,FALSE
18,2,0.10526315789473684,2018,COMPARING CHINA'S URBAN SYSTEMS IN HIGH-SPEED RAILWAY AND AIRLINE NETWORKS,YANG H;DOBRUSZKES F;WANG J;DIJST M;WITTE P,2-S2.0-85045129057,FALSE
19,2,0.1693548387096774,2019,A GOAL-ORIENTED APPROACH BASED ON FUZZY AXIOMATIC DESIGN FOR SUSTAINABLE MOBILITY PROJECT SELECTION,AWASTHI A;OMRANI H,2-S2.0-85057518589,FALSE
19,2,0.1693548387096774,2018,A SCENARIO SIMULATION APPROACH FOR SUSTAINABLE MOBILITY PROJECT EVALUATION BASED ON FUZZY COGNITIVE MAPS,AWASTHI A;OMRANI H,2-S2.0-85044252080,FALSE
