com,n_com,dgr_int,PY,TI,AU,UT,seed_com
6,3,0.08874577868530589,2016,GENERATION AND THE PROPENSITY OF LONG CAREER INTERRUPTIONS DUE TO CHILDCARE UNDER DIFFERENT FAMILY POLICY REGIMES: A MULTILEVEL APPROACH,VALENTOVA M,2-S2.0-84991257551,TRUE
6,3,0.04672897196261682,2019,THE IMPACT OF PARENTAL LEAVE POLICY ON THE INTENSITY OF LABOUR-MARKET PARTICIPATION OF MOTHERS: DO THE NUMBER OF CHILDREN AND PRE-BIRTH WORK ENGAGEMENT MATTER?,VALENTOVA M,2-S2.0-85049783698,TRUE
6,3,0.04201680672268908,2016,HOW DO TRADITIONAL GENDER ROLES RELATE TO SOCIAL COHESION? FOCUS ON DIFFERENCES BETWEEN WOMEN AND MEN,VALENTOVA M,2-S2.0-84928155272,TRUE
7,2,0.09497206703910614,2021,WHAT DRIVES CROSS-COUNTRY HEALTH INEQUALITY IN THE EU? UNPACKING THE ROLE OF SOCIO-ECONOMIC FACTORS,MAZEIKAITE G;O'DONOGHUE C;SOLOGON DM,2-S2.0-85098964898,FALSE
7,2,0.09497206703910614,2019,"THE GREAT RECESSION, FINANCIAL STRAIN AND SELF-ASSESSED HEALTH IN IRELAND",MAZEIKAITE G;O'DONOGHUE C;SOLOGON DM,2-S2.0-85065743487,FALSE
8,2,0.1038961038961039,2020,"DIABETES, EMPLOYMENT AND BEHAVIOURAL RISK FACTORS IN CHINA: MARGINAL STRUCTURAL MODELS VERSUS FIXED EFFECTS MODELS",SEURING T;SERNEELS P;SUHRCKE M;BACHMANN M,2-S2.0-85092132453,FALSE
8,2,0.1038961038961039,2019,THE IMPACT OF DIABETES ON LABOUR MARKET OUTCOMES IN MEXICO: A PANEL DATA AND BIOMARKER ANALYSIS,SEURING T;SERNEELS P;SUHRCKE M,2-S2.0-85067832928,FALSE
9,2,0.26582278481012656,2020,COMPARING VOLUNTARY ACTIVITIES AMONG IMMIGRANT AND NON-IMMIGRANT. FOCUS ON THIRD COUNTRY NATIONALS,VALENTOVA M;JUSTINIANO MEDINA AC,2-S2.0-85076862533,FALSE
9,2,0.26582278481012656,2018,DO NON-EU IMMIGRANTS EXHIBIT DIFFERENT PATTERNS OF PARTICIPATION IN VOLUNTARY ASSOCIATIONS FROM THOSE OF NATIVES AND EU IMMIGRANTS?,VALENTOVA M;ALIEVA A,2-S2.0-85014633157,FALSE
10,2,0.07627118644067797,2019,"‘IF I WERE TO DO IT ALL OVER AGAIN, SHOULD I BEGIN WITH CULTURE?’ THE EUROPEAN INTEGRATION FROM A CULTURAL PERSPECTIVE IN A MULTI-NATIONAL GRAND DUCHY",LAMOUR C;LORENTZ N,2-S2.0-85068649818,FALSE
10,2,0.07627118644067797,2019,THE ECONOMICS OF FREE NEWSPAPERS: THE BUSINESS VALUE OF BANAL COSMOPOLITANISM IN THE CITY OF FLOWS,LAMOUR C;LORENTZ N,2-S2.0-85066041584,FALSE
11,2,0.11864406779661017,2017,"LIFE SATISFACTION AND LONGITUDINAL CHANGES IN PHYSICAL ACTIVITY, DIABETES AND OBESITY AMONG PATIENTS WITH CARDIOVASCULAR DISEASES",BAUMANN M;TCHICAYA A;LORENTZ N;LE BIHAN E,2-S2.0-85036634402,FALSE
11,2,0.11864406779661017,2016,"IMPACT OF PATIENTS' COMMUNICATION WITH THE MEDICAL PRACTITIONERS, ON THEIR ADHERENCE DECLARED TO PREVENTIVE BEHAVIOURS, FIVE YEARS AFTER A CORONARY ANGIOGRAPHY, IN LUXEMBOURG",BAUMANN M;TCHICAYA A;LORENTZ N;LE BIHAN E,2-S2.0-84979021468,FALSE
12,1,0,2019,"THE IMPACT OF PUBLIC HEALTH INSURANCE ON HEALTH CARE UTILISATION, FINANCIAL PROTECTION AND HEALTH STATUS IN LOW- AND MIDDLE-INCOME COUNTRIES: A SYSTEMATIC REVIEW",ERLANGGA D;SUHRCKE M;ALI S;BLOOR K,2-S2.0-85071479389,FALSE
13,1,0,2018,MACROPRUDENTIAL POLICY AND HOUSEHOLD WEALTH INEQUALITY,CARPANTIER J-F;OLIVERA J;VAN KERM P,2-S2.0-85039037925,FALSE
